4.8566 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
84.9061 	EXP 	grating: tex = 'sin'
85.2214 	EXP 	grating: autoDraw = False
85.3421 	EXP 	window1: recordFrameIntervals = False
85.3446 	DATA 	Keypress: right
85.3546 	EXP 	fixation: autoDraw = False
85.3546 	EXP 	grating: autoDraw = False
85.3549 	EXP 	window1: recordFrameIntervals = False
86.3340 	EXP 	fixation: autoDraw = True
87.3377 	EXP 	fixation: autoDraw = False
87.3546 	EXP 	grating: autoDraw = True
87.3546 	EXP 	grating: tex = 'sin'
87.6543 	EXP 	grating: autoDraw = False
87.7413 	DATA 	Keypress: left
87.7585 	EXP 	window1: recordFrameIntervals = False
87.7720 	EXP 	fixation: autoDraw = False
87.7720 	EXP 	grating: autoDraw = False
87.7725 	EXP 	window1: recordFrameIntervals = False
88.7506 	EXP 	fixation: autoDraw = True
89.7540 	EXP 	fixation: autoDraw = False
89.7707 	EXP 	grating: autoDraw = True
89.7707 	EXP 	grating: tex = 'sin'
90.0705 	EXP 	grating: autoDraw = False
90.1748 	EXP 	window1: recordFrameIntervals = False
90.1769 	DATA 	Keypress: right
90.1874 	EXP 	fixation: autoDraw = False
90.1874 	EXP 	grating: autoDraw = False
90.1878 	EXP 	window1: recordFrameIntervals = False
90.9610 	DATA 	Keypress: left
91.1691 	EXP 	fixation: autoDraw = True
92.1704 	EXP 	fixation: autoDraw = False
92.1874 	EXP 	grating: autoDraw = True
92.1874 	EXP 	grating: tex = 'sin'
92.4869 	EXP 	grating: autoDraw = False
92.5247 	EXP 	window1: recordFrameIntervals = False
92.5269 	DATA 	Keypress: right
92.5371 	EXP 	fixation: autoDraw = False
92.5371 	EXP 	grating: autoDraw = False
92.5374 	EXP 	window1: recordFrameIntervals = False
93.5161 	EXP 	fixation: autoDraw = True
94.5199 	EXP 	fixation: autoDraw = False
94.5371 	EXP 	grating: autoDraw = True
94.5371 	EXP 	grating: tex = 'sin'
94.8366 	EXP 	grating: autoDraw = False
94.9574 	EXP 	window1: recordFrameIntervals = False
94.9595 	DATA 	Keypress: right
94.9699 	EXP 	fixation: autoDraw = False
94.9699 	EXP 	grating: autoDraw = False
94.9702 	EXP 	window1: recordFrameIntervals = False
95.9504 	EXP 	fixation: autoDraw = True
96.9530 	EXP 	fixation: autoDraw = False
96.9701 	EXP 	grating: autoDraw = True
96.9701 	EXP 	grating: tex = 'sin'
97.2695 	EXP 	grating: autoDraw = False
97.2904 	DATA 	Keypress: right
97.3065 	EXP 	window1: recordFrameIntervals = False
97.3196 	EXP 	fixation: autoDraw = False
97.3196 	EXP 	grating: autoDraw = False
97.3200 	EXP 	window1: recordFrameIntervals = False
98.2982 	EXP 	fixation: autoDraw = True
99.3026 	EXP 	fixation: autoDraw = False
99.3197 	EXP 	grating: autoDraw = True
99.3197 	EXP 	grating: tex = 'sin'
99.6194 	EXP 	grating: autoDraw = False
99.7237 	EXP 	window1: recordFrameIntervals = False
99.7257 	DATA 	Keypress: left
99.7360 	EXP 	fixation: autoDraw = False
99.7360 	EXP 	grating: autoDraw = False
99.7364 	EXP 	window1: recordFrameIntervals = False
100.7181 	EXP 	fixation: autoDraw = True
101.7187 	EXP 	fixation: autoDraw = False
101.7356 	EXP 	grating: autoDraw = True
101.7356 	EXP 	grating: tex = 'sin'
102.0358 	EXP 	grating: autoDraw = False
102.1242 	EXP 	window1: recordFrameIntervals = False
102.1262 	DATA 	Keypress: left
102.1357 	EXP 	fixation: autoDraw = False
102.1357 	EXP 	grating: autoDraw = False
102.1361 	EXP 	window1: recordFrameIntervals = False
103.1170 	EXP 	fixation: autoDraw = True
104.1188 	EXP 	fixation: autoDraw = False
104.1357 	EXP 	grating: autoDraw = True
104.1357 	EXP 	grating: tex = 'sin'
104.4353 	EXP 	grating: autoDraw = False
104.4891 	EXP 	window1: recordFrameIntervals = False
104.4910 	DATA 	Keypress: right
104.5021 	EXP 	fixation: autoDraw = False
104.5021 	EXP 	grating: autoDraw = False
104.5025 	EXP 	window1: recordFrameIntervals = False
105.4842 	EXP 	fixation: autoDraw = True
106.4852 	EXP 	fixation: autoDraw = False
106.5021 	EXP 	grating: autoDraw = True
106.5021 	EXP 	grating: tex = 'sin'
106.8020 	EXP 	grating: autoDraw = False
106.8454 	DATA 	Keypress: left
106.8563 	EXP 	window1: recordFrameIntervals = False
106.8685 	EXP 	fixation: autoDraw = False
106.8685 	EXP 	grating: autoDraw = False
106.8689 	EXP 	window1: recordFrameIntervals = False
107.8505 	EXP 	fixation: autoDraw = True
108.8516 	EXP 	fixation: autoDraw = False
108.8684 	EXP 	grating: autoDraw = True
108.8684 	EXP 	grating: tex = 'sin'
109.1681 	EXP 	grating: autoDraw = False
109.3224 	EXP 	window1: recordFrameIntervals = False
109.3246 	DATA 	Keypress: left
109.3349 	EXP 	fixation: autoDraw = False
109.3349 	EXP 	grating: autoDraw = False
109.3353 	EXP 	window1: recordFrameIntervals = False
110.3162 	EXP 	fixation: autoDraw = True
111.3181 	EXP 	fixation: autoDraw = False
111.3347 	EXP 	grating: autoDraw = True
111.3347 	EXP 	grating: tex = 'sin'
111.6348 	EXP 	grating: autoDraw = False
111.6889 	EXP 	window1: recordFrameIntervals = False
111.6912 	DATA 	Keypress: right
111.7012 	EXP 	fixation: autoDraw = False
111.7012 	EXP 	grating: autoDraw = False
111.7015 	EXP 	window1: recordFrameIntervals = False
112.6814 	EXP 	fixation: autoDraw = True
113.6843 	EXP 	fixation: autoDraw = False
113.7013 	EXP 	grating: autoDraw = True
113.7013 	EXP 	grating: tex = 'sin'
114.0009 	EXP 	grating: autoDraw = False
114.0216 	EXP 	window1: recordFrameIntervals = False
114.0238 	DATA 	Keypress: right
114.0343 	EXP 	fixation: autoDraw = False
114.0343 	EXP 	grating: autoDraw = False
114.0346 	EXP 	window1: recordFrameIntervals = False
115.0150 	EXP 	fixation: autoDraw = True
116.0175 	EXP 	fixation: autoDraw = False
116.0343 	EXP 	grating: autoDraw = True
116.0343 	EXP 	grating: tex = 'sin'
116.3340 	EXP 	grating: autoDraw = False
116.5554 	EXP 	window1: recordFrameIntervals = False
116.5577 	DATA 	Keypress: left
116.5670 	EXP 	fixation: autoDraw = False
116.5670 	EXP 	grating: autoDraw = False
116.5674 	EXP 	window1: recordFrameIntervals = False
117.5542 	EXP 	fixation: autoDraw = True
118.5670 	EXP 	fixation: autoDraw = False
118.5670 	EXP 	grating: autoDraw = True
118.5670 	EXP 	grating: tex = 'sin'
118.8668 	EXP 	grating: autoDraw = False
118.9709 	EXP 	window1: recordFrameIntervals = False
118.9731 	DATA 	Keypress: left
118.9836 	EXP 	fixation: autoDraw = False
118.9836 	EXP 	grating: autoDraw = False
118.9839 	EXP 	window1: recordFrameIntervals = False
119.9651 	EXP 	fixation: autoDraw = True
120.9668 	EXP 	fixation: autoDraw = False
120.9835 	EXP 	grating: autoDraw = True
120.9835 	EXP 	grating: tex = 'sin'
121.2834 	EXP 	grating: autoDraw = False
121.4528 	EXP 	window1: recordFrameIntervals = False
