trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,key_resp.corr,participant,session,date,expName,psychopyVersion,frameRate,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,44,43,down,0.005,db,0.048386031555974894,0.0016147000715136528,128.28266709996387,128.28266709996387,128.58242120034993,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,45,44,down,0.005,db,0.048386031555974894,0.0015059001743793488,130.6822994002141,130.6822994002141,130.9819237003103,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,46,45,down,0.005,db,0.048386031555974894,0.0013990001752972603,133.04866249999031,133.04866249999031,133.34835080010816,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,47,46,down,0.005,db,0.04835818633250089,0.0007694000378251076,135.5484720999375,135.5484720999375,135.84805870009586,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,48,47,down,0.005,db,0.04835818633250089,0.0014360998757183552,137.98110480001196,137.98110480001196,138.280735200271,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,49,48,down,0.005,db,0.04835818633250089,0.0004949001595377922,140.3811079999432,140.3811079999432,140.68069240031764,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,50,49,down,0.005,db,0.04833035713341338,0.0004862002097070217,142.94741610018536,142.94741610018536,143.24712640000507,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,51,50,down,0.005,db,0.04833035713341338,0.0011865999549627304,145.31366730015725,145.31366730015725,145.6133749000728,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,52,51,down,0.005,db,0.04833035713341338,0.0012560999020934105,147.71354930009693,147.71354930009693,148.01322550000623,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,53,52,down,0.005,db,0.048302543949490635,0.0012363996356725693,150.12973960023373,150.12973960023373,150.42948900023475,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,54,53,down,0.005,db,0.048302543949490635,0.0012688003480434418,152.59624940017238,152.59624940017238,152.8957986999303,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,55,54,down,0.005,db,0.048302543949490635,0.0011829999275505543,154.9790513003245,154.9790513003245,155.27884609997272,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,56,55,down,0.005,db,0.04827474677151624,0.0011971001513302326,157.47890500025824,157.47890500025824,157.77862100023776,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,57,56,down,0.005,db,0.04827474677151624,0.0011958000250160694,159.89526360016316,159.89526360016316,160.19519390026107,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,58,57,down,0.005,db,0.04827474677151624,0.0012223999947309494,162.32816980034113,162.32816980034113,162.62788629997522,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,59,58,down,0.005,db,0.04824696559027908,0.0011832998134195805,164.82785370014608,164.82785370014608,165.12766130035743,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,60,59,down,0.005,db,0.04824696559027908,0.0013609002344310284,167.1776543003507,167.1776543003507,167.47735390020534,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,61,60,down,0.005,db,0.04824696559027908,0.0017011999152600765,169.5937907001935,169.5937907001935,169.89369930000976,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,62,61,down,0.005,db,0.04821920039657334,0.0011880001984536648,171.99356740014628,171.99356740014628,172.29330709995702,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,63,62,down,0.005,db,0.04821920039657334,0.0012344000861048698,174.34337610006332,174.34337610006332,174.64301489992067,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,64,63,down,0.005,db,0.04821920039657334,0.0016040997579693794,176.72649360029027,176.72649360029027,177.02596750017256,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,65,64,down,0.005,db,0.04819145118119851,0.0013129999861121178,179.15930500021204,179.15930500021204,179.45903450017795,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,66,65,down,0.005,db,0.04819145118119851,0.001212600152939558,181.5758577999659,181.5758577999659,181.87532960018143,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,67,66,down,0.005,db,0.04819145118119851,0.0012050000950694084,183.97538360022008,183.97538360022008,184.27510720025748,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,68,67,down,0.005,db,0.04816371793495937,0.0013086996041238308,186.49172640033066,186.49172640033066,186.79143700003624,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,69,68,down,0.005,db,0.04816371793495937,0.001209199894219637,189.14144310029224,189.14144310029224,189.44122460018843,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,70,69,down,0.005,db,0.04816371793495937,0.001223099883645773,191.57429350027815,191.57429350027815,191.87415960012004,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,71,70,down,0.005,db,0.04813600064866599,0.0012048999778926373,194.15735330013558,194.15735330013558,194.4570398000069,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,72,71,down,0.005,db,0.04813600064866599,0.0012688999995589256,196.69049479998648,196.69049479998648,196.99026470026,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,73,72,down,0.005,db,0.04813600064866599,0.0012457999400794506,199.12387060001493,199.12387060001493,199.4231294002384,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,74,73,down,0.005,db,0.04810829931313373,0.0012177000753581524,201.4897553003393,201.4897553003393,201.7892781002447,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
